poem,interest,amusement,pride,joy,pleasure,contentment,love,admiration,relief,compassion,sadness,guilt,regret,shame,disappointment,fear,disgust,contempt,hate,anger,Affect,Valence
Sunshower - Natalie Shapero,1,1,2,1,1,2,1,2,2,4,2,3,3,3,4,2,4,4,4,5,-0.57,-0.64
Let Me Explain - David Shook,4,1,2,1,2,3,2,1,1,2,4,3,5,5,4,5,4,2,4,5,-0.72,-0.76
"Man in Boat, 1988 - Vi Khi Nao",3,0,1,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0.46,-0.22
After Noise -  SUEYEUN JULIETTE LEE,5,0,0,0,0,0,3,0,0,1,0,5,3,4,4,5,2,4,2,0,-0.92,-0.67
After Noise - SUEYEUN JULIETTE LEE,3,0,1,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0.42,-0.22
Stepping out of the light by Forrest Gander,3,3,5,3,3,3,3,3,3,3,5,5,3,3,3,3,3,5,3,5,-0.07,-0.82
Stepping out of the light by Forrest Gander,5,0,0,0,0,0,3,0,0,1,0,5,3,4,4,5,2,4,2,0,-0.92,-0.67
An After Hour - BRENDA COULTAS,5,2,2,5,4,4,5,4,2,1,0,0,0,0,2,0,0,0,0,0,1.09,-0.32
"They - NOELLE KOCOT
",4,1,2,1,2,3,2,1,1,2,4,3,5,5,4,5,4,2,4,5,-0.72,-0.76
"Letter to My Father - MARTÍN ESPADA
",1,1,2,1,1,2,1,2,2,4,2,3,3,3,4,2,4,4,4,5,-0.57,-0.64
"Letter to My Father - MARTÍN ESPADA
",2,0,1,0,0,0,1,2,0,3,5,4,5,3,2,0,0,0,0,0,-0.47,-0.43
Pyramid Scheme - HERA LINDSAY BIRD,1,3,0,4,0,4,4,5,3,3,0,0,2,0,0,0,0,0,0,0,0.75,0.06
Sedition — a letter to the writer from Meri Mangakāhia,4,1,2,1,2,3,2,1,1,2,4,3,5,5,4,5,4,2,4,5,-0.72,-0.76
Sedition — a letter to the writer from Meri Mangakāhia,4,4,0,2,2,1,2,3,1,4,3,1,0,1,3,0,0,0,0,2,0.33,-0.28
"You Can Take Off   Your Sweater, I’ve Made Today Warm - PAIGE LEWIS",5,0,1,2,0,1,0,0,2,0,4,0,2,1,1,0,0,0,0,0,0.05,-0.24
Graduation Day - MATTHEW ZAPRUDER,5,2,2,5,4,4,5,4,2,1,0,0,0,0,2,0,0,0,0,0,1.09,-0.33
"Outbound - HIEU MINH NGUYEN
",3,0,1,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0.41,-0.23
Ode to Autocorrect - MARTHA SILANO,1,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,3,0,3,4,-0.55,-0.47
The Lamp of Mutual Aid - JOSHUA EDWARDS,1,1,2,2,2,2,2,2,2,2,3,2,3,2,3,3,1,1,1,1,-0.11,-0.36
The truth about Palmerston North - TIM UPPERTON,4,3,2,2,3,5,2,2,2,3,4,2,1,1,1,1,1,1,1,1,0.49,-0.64
Scissors - SAMUEL MENASHE,4,1,2,1,2,3,2,1,1,2,4,3,5,5,4,5,4,2,4,5,-0.72,-0.76
Scissors - SAMUEL MENASHE,5,0,1,2,0,1,0,0,2,0,4,0,2,1,1,0,0,0,0,0,0.05,-0.26
CXIV - SONNET L'ABBÉ,4,1,2,1,2,3,2,1,1,2,4,3,5,5,4,5,4,2,4,5,-0.72,-0.77
"ain't that easy - ERICA LEWIS
",1,1,2,2,2,2,2,2,2,2,3,2,3,2,3,3,1,1,1,1,-0.11,-0.36
The Binchōtan Charcoal & Its Ash - VI KHI NAO,4,0,0,0,0,0,3,0,1,3,4,1,2,3,3,1,0,0,0,2,-0.31,-0.39
"Body of Rags, International Bridge Between the US & Mexico - RAY GONZALEZ",5,0,0,0,0,0,0,0,0,5,3,5,5,4,5,4,5,3,3,5,-1.3,-0.84
The Definitions - FANNY HOWE,2,3,1,1,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.37,-0.21
Main Na Bhoolunga - FATIMAH ASGHAR,3,2,4,4,3,4,4,3,1,5,0,0,0,0,0,0,0,0,0,0,1.06,-0.35
Poet Wrestling with Her Empire of Dirt - ROSEBUD BEN-ONI,2,2,0,0,2,3,1,4,2,3,2,1,0,0,0,3,3,3,0,0,0.108,-0.36
Resistance - TRACI BRIMHALL,3,4,4,2,3,3,2,4,0,3,1,0,0,1,0,0,0,0,1,0,0.83,-0.27
Study of Two Figures (Pasiphaë/Sado) - MONICA YOUN,5,3,0,0,4,0,0,5,3,0,2,2,0,2,3,0,0,0,3,0,0.18,-0.28
The Trans Haggadah Companion - BEV YOCKELSON,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,-0.07,-0.04
the name before the name before mine - JAY BESEMER,4,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,0,0,-0.08,-0.2
